funding_time,product_id,funding_rate,index_price,settlement_price,mid,price,open_interest,volume_24h,fetched_at
2026-09-05T00:00:00Z,POP-20DEC30-CDE,-1.6e-05,0.888855,0.874,0.886,0.889,4401,5030,2026-09-05T00:14:01Z
2026-09-05T00:00:00Z,SHP-20DEC30-CDE,7e-06,0.00523,0.00522,0.005235,0.00524,3411,4097,2026-09-05T00:14:01Z
2026-09-05T00:00:00Z,SLP-20DEC30-CDE,-5e-06,101.881256,101.71,101.85,101.79,35533,55955,2026-09-05T00:14:01Z
2026-09-05T00:00:00Z,SUP-20DEC30-CDE,6e-06,0.757845,0.7591,0.7576,0.7558,4888,15870,2026-09-05T00:14:01Z
2026-09-05T00:00:00Z,XLP-20DEC30-CDE,9e-06,0.179755,0.17962,0.17976,0.17991,3777,6539,2026-09-05T00:14:01Z
2026-09-05T00:00:00Z,XPP-20DEC30-CDE,-1e-05,1.399953,1.4005,1.3994,1.4004,45857,115588,2026-09-05T00:14:01Z
2026-09-05T00:00:00Z,ZEC-20DEC30-CDE,1.2e-05,1023.866028,1041.5,1025.775,1027,8729,70127,2026-09-05T00:14:01Z
2026-09-05T01:00:00Z,ADP-20DEC30-CDE,-5e-06,0.211097,0.2136,0.2113,0.2111,9681,34915,2026-09-05T01:14:14Z
2026-09-05T01:00:00Z,AVE-20DEC30-CDE,-4e-06,131.166868,130.56,131.215,131.04,982,3187,2026-09-05T01:14:14Z
2026-09-05T01:00:00Z,AVP-20DEC30-CDE,-2.9e-05,7.404523,7.38,7.395,7.39,7699,6677,2026-09-05T01:14:14Z
2026-09-05T01:00:00Z,BCP-20DEC30-CDE,0,246.147179,253.2,246.125,246,1657,36225,2026-09-05T01:14:14Z
2026-09-05T01:00:00Z,BIP-20DEC30-CDE,5e-06,79687.679808,79790,79710,79710,173830,675146,2026-09-05T01:14:14Z
2026-09-05T01:00:00Z,BNB-20DEC30-CDE,1.5e-05,720.022219,720.2,720.425,720.9,365,767,2026-09-05T01:14:14Z
2026-09-05T01:00:00Z,DOP-20DEC30-CDE,1e-06,0.084883,0.08475,0.08489,0.08472,2454,8738,2026-09-05T01:14:14Z
2026-09-05T01:00:00Z,ENA-20DEC30-CDE,5e-06,0.163679,0.1633,0.163775,0.16394,1163,13405,2026-09-05T01:14:14Z
2026-09-05T01:00:00Z,ETP-20DEC30-CDE,1.2e-05,2455.546415,2455.5,2456.5,2457,319396,322267,2026-09-05T01:14:14Z
2026-09-05T01:00:00Z,HEP-20DEC30-CDE,7e-06,0.079058,0.07733,0.0791,0.07892,2239,15155,2026-09-05T01:14:14Z
2026-09-05T01:00:00Z,HYP-20DEC30-CDE,2.7e-05,84.296315,84.89,84.34,84.29,9250,16983,2026-09-05T01:14:14Z
2026-09-05T01:00:00Z,LCP-20DEC30-CDE,-1.3e-05,51.049817,50.68,51.03,51.05,3178,4657,2026-09-05T01:14:14Z
2026-09-05T01:00:00Z,LNP-20DEC30-CDE,1e-05,11.665259,11.711,11.6725,11.642,4294,8685,2026-09-05T01:14:14Z
2026-09-05T01:00:00Z,NER-20DEC30-CDE,-1.4e-05,2.261726,2.1617,2.25865,2.2624,1157,10788,2026-09-05T01:14:14Z
2026-09-05T01:00:00Z,OND-20DEC30-CDE,-1.4e-05,0.365831,0.3582,0.36555,0.366,4919,9415,2026-09-05T01:14:14Z
2026-09-05T01:00:00Z,PAU-20DEC30-CDE,5e-06,4437.849241,4435.8,4437.9,4436.2,1192,1911,2026-09-05T01:14:14Z
2026-09-05T01:00:00Z,PEP-20DEC30-CDE,7e-06,0.0035,0.003579,0.0035035,0.003507,665,3885,2026-09-05T01:14:14Z
2026-09-05T01:00:00Z,POP-20DEC30-CDE,-1.2e-05,0.896503,0.874,0.8975,0.899,4401,5180,2026-09-05T01:14:14Z
2026-09-05T01:00:00Z,SHP-20DEC30-CDE,9e-06,0.00523,0.00522,0.005225,0.00524,3411,3986,2026-09-05T01:14:14Z
2026-09-05T01:00:00Z,SLP-20DEC30-CDE,-6e-06,101.997692,101.71,101.995,102.01,35533,52554,2026-09-05T01:14:14Z
2026-09-05T01:00:00Z,SUP-20DEC30-CDE,5e-06,0.767681,0.7591,0.7678,0.7678,4888,15281,2026-09-05T01:14:14Z
2026-09-05T01:00:00Z,XLP-20DEC30-CDE,1.5e-05,0.179228,0.17962,0.179285,0.17931,3777,5730,2026-09-05T01:14:14Z
2026-09-05T01:00:00Z,XPP-20DEC30-CDE,-9e-06,1.400574,1.4005,1.40085,1.4003,45857,111164,2026-09-05T01:14:14Z
2026-09-05T01:00:00Z,ZEC-20DEC30-CDE,1.2e-05,1021.766331,1041.5,1022.05,1021.95,8729,68129,2026-09-05T01:14:14Z
